max_depth,learning_rate,n_estimators,score,time
[CV 19/30] END base_estimator__max_depth=3, 0.03, 225, 0.741,2.1min
[CV 20/30] END base_estimator__max_depth=3, 0.03, 225, 0.762,2.1min
[CV 21/30] END base_estimator__max_depth=3, 0.03, 225, 0.744,1.1min
[CV 22/30] END base_estimator__max_depth=3, 0.03, 225, 0.749,1.1min
[CV 23/30] END base_estimator__max_depth=3, 0.03, 225, 0.768,1.1min
[CV 24/30] END base_estimator__max_depth=3, 0.03, 225, 0.773,1.1min
[CV 25/30] END base_estimator__max_depth=3, 0.03, 225, 0.747,1.1min
[CV 26/30] END base_estimator__max_depth=3, 0.03, 225, 0.762,1.0min
[CV 27/30] END base_estimator__max_depth=3, 0.03, 225, 0.761,1.0min
[CV 28/30] END base_estimator__max_depth=3, 0.03, 225, 0.740,1.0min
[CV 29/30] END base_estimator__max_depth=3, 0.03, 225, 0.740,1.0min
[CV 30/30] END base_estimator__max_depth=3, 0.03, 225, 0.745,1.0min
[CV 1/30] END base_estimator__max_depth=3, 0.035, 175, 0.764, 48.8s
[CV 3/30] END base_estimator__max_depth=3, 0.035, 175, 0.746, 48.7s
[CV 2/30] END base_estimator__max_depth=3, 0.035, 175, 0.741, 49.3s
[CV 4/30] END base_estimator__max_depth=3, 0.035, 175, 0.734, 48.9s
[CV 5/30] END base_estimator__max_depth=3, 0.035, 175, 0.766, 49.0s
[CV 6/30] END base_estimator__max_depth=3, 0.035, 175, 0.729, 49.2s
[CV 8/30] END base_estimator__max_depth=3, 0.035, 175, 0.746, 49.5s
[CV 7/30] END base_estimator__max_depth=3, 0.035, 175, 0.735, 49.9s
[CV 9/30] END base_estimator__max_depth=3, 0.035, 175, 0.763, 49.6s
[CV 10/30] END base_estimator__max_depth=3, 0.035, 175, 0.739, 49.8s
[CV 11/30] END base_estimator__max_depth=3, 0.035, 175, 0.755, 48.4s
[CV 12/30] END base_estimator__max_depth=3, 0.035, 175, 0.747, 47.9s
[CV 13/30] END base_estimator__max_depth=3, 0.035, 175, 0.761, 48.1s
[CV 14/30] END base_estimator__max_depth=3, 0.035, 175, 0.765, 47.5s
[CV 15/30] END base_estimator__max_depth=3, 0.035, 175, 0.763, 47.4s
[CV 16/30] END base_estimator__max_depth=3, 0.035, 175, 0.733, 40.6s
[CV 17/30] END base_estimator__max_depth=3, 0.035, 175, 0.730, 41.3s
[CV 18/30] END base_estimator__max_depth=3, 0.035, 175, 0.742, 41.3s
[CV 19/30] END base_estimator__max_depth=3, 0.035, 175, 0.734, 40.9s
[CV 20/30] END base_estimator__max_depth=3, 0.035, 175, 0.755, 40.8s
[CV 21/30] END base_estimator__max_depth=3, 0.035, 175, 0.742, 42.0s
[CV 22/30] END base_estimator__max_depth=3, 0.035, 175, 0.737, 41.6s
[CV 23/30] END base_estimator__max_depth=3, 0.035, 175, 0.770, 42.0s
[CV 24/30] END base_estimator__max_depth=3, 0.035, 175, 0.786, 42.4s
[CV 25/30] END base_estimator__max_depth=3, 0.035, 175, 0.747, 42.0s
[CV 26/30] END base_estimator__max_depth=3, 0.035, 175, 0.759, 43.6s
[CV 27/30] END base_estimator__max_depth=3, 0.035, 175, 0.765, 42.7s
[CV 28/30] END base_estimator__max_depth=3, 0.035, 175, 0.734, 43.1s
[CV 29/30] END base_estimator__max_depth=3, 0.035, 175, 0.728, 43.2s
[CV 30/30] END base_estimator__max_depth=3, 0.035, 175, 0.749, 43.2s
[CV 1/30] END base_estimator__max_depth=3, 0.035, 200, 0.762, 45.3s
[CV 2/30] END base_estimator__max_depth=3, 0.035, 200, 0.749, 46.0s
[CV 3/30] END base_estimator__max_depth=3, 0.035, 200, 0.750, 46.8s
[CV 4/30] END base_estimator__max_depth=3, 0.035, 200, 0.743, 46.2s
[CV 5/30] END base_estimator__max_depth=3, 0.035, 200, 0.768, 46.8s
